OBO_ID	OBO_LABEL	FREQUENCY
go_0010467	gene expression	100.00%
go_0007565	female pregnancy	79.25%
go_0065007	biological regulation	79.25%
chebi_71657	versiconol acetate	54.72%
uberon_0002405	immune system	45.28%
go_0007567	parturition	43.40%
so_0000694	SNP	43.40%
ncbitaxon_10088	Mus <genus>	41.51%
ncbitaxon_9606	Homo sapiens	39.62%
uberon_0000955	brain	37.74%
pr_000017319	vacuolar protein sorting-associated protein 13A	37.74%
