OBO_ID	OBO_LABEL	FREQUENCY
uberon_0000955	brain	100.00%
go_0007565	female pregnancy	36.92%
chebi_33284	nutrient	13.85%
ncbitaxon_33208	Metazoa	10.77%
so_0000704	gene	10.77%
cl_0000540	neuron	10.77%
chebi_24859	iodine atom	10.77%
uberon_0000104	life cycle	10.77%
chebi_17874	dihydrozeatin	7.69%
chebi_30751	formic acid	7.69%
go_0065007	biological regulation	6.15%
