	ARTICLE	ARTICLE DATE	NUM SENTENCES_x	NUM SENTENCES_y
0	PMC3717170	5/2013	8.0	0.0
1	PMC4251419	12/2014	5.0	0.0
2	PMC3277098	12/2011	5.0	0.0
3	PMC4113768	7/2014	4.0	0.0
4	PMC3672018	5/2013	3.0	0.0
5	PMC3991049	11/2013	3.0	0.0
6	PMC4908484	6/2016	2.0	0.0
7	PMC4934634	11/2015	2.0	1.0
8	PMC4997421	8/2016	2.0	0.0
9	PMC3702245	6/2013	2.0	0.0
10	PMC2582131	11/2008	2.0	0.0
11	PMC3427250	8/2012	2.0	0.0
12	PMC5372327	3/2017	2.0	0.0
13	PMC5941617	5/2018	2.0	0.0
14	PMC5340372	3/2017	1.0	0.0
15	PMC4690051	12/2015	1.0	0.0
16	PMC4729160	1/2016	1.0	0.0
17	PMC4764019	1/2016	1.0	0.0
18	PMC4859539	5/2016	1.0	0.0
19	PMC5634602	10/2017	1.0	0.0
20	PMC5521778	7/2017	1.0	0.0
21	PMC5322422	2/2017	1.0	0.0
22	PMC4933662	4/2016	1.0	0.0
23	PMC5510234	7/2017	1.0	0.0
24	PMC4971719	8/2016	1.0	0.0
25	PMC4976416	7/2016	1.0	0.0
26	PMC4488777	5/2015	1.0	0.0
27	PMC4514967	12/2014	1.0	0.0
28	PMC4302429	1/2015	1.0	0.0
29	PMC4448820	5/2015	1.0	0.0
30	PMC3713405	7/2013	1.0	0.0
31	PMC3032617	5/2010	1.0	0.0
32	PMC3347028	3/2012	1.0	0.0
33	PMC3458940	9/2012	1.0	0.0
34	PMC3515553	12/2012	1.0	0.0
35	PMC3641012	4/2013	1.0	0.0
36	PMC3651971	5/2013	1.0	0.0
37	PMC3702339	6/2013	1.0	0.0
38	PMC3760821	9/2013	1.0	0.0
39	PMC4427001	4/2015	1.0	0.0
40	PMC3827489	10/2013	1.0	0.0
41	PMC3888066	12/2012	1.0	0.0
42	PMC3926113	1/2014	1.0	0.0
43	PMC4221707	11/2014	1.0	0.0
44	PMC4277121	12/2015	1.0	0.0
45	PMC2996405	11/2010	1.0	0.0
46	PMC4377870	3/2015	1.0	2.0
47	PMC5952272	5/2018	1.0	1.0
48	PMC3659910	1/2013	0.0	1.0
49	PMC4829940	5/2016	0.0	1.0
50	PMC5085625	9/2016	0.0	1.0
51	PMC5351212	3/2017	0.0	1.0
52	PMC5504744	7/2017	0.0	1.0
53	PMC5580292	9/2017	0.0	1.0
54	PMC5679631	11/2017	0.0	1.0
