	ARTICLE	ARTICLE DATE	NUM SENTENCES_x	NUM SENTENCES_y
0	PMC3271033	1/2012	6	1.0
1	PMC4997567	8/2016	6	0.0
2	PMC3613945	2/2013	5	0.0
3	PMC5679631	11/2017	5	2.0
4	PMC3629265	4/2013	5	1.0
5	PMC5489519	6/2017	4	0.0
6	PMC3717170	5/2013	4	0.0
7	PMC3659910	1/2013	3	0.0
8	PMC3407995	7/2012	3	0.0
9	PMC3668200	5/2013	2	1.0
10	PMC5941617	5/2018	2	0.0
11	PMC5707701	11/2017	2	0.0
12	PMC5368580	4/2017	2	4.0
13	PMC3366289	7/2011	2	0.0
14	PMC2290997	4/2008	1	0.0
15	PMC5014971	8/2016	1	0.0
16	PMC4934634	11/2015	1	0.0
17	PMC4997421	8/2016	1	0.0
18	PMC5129897	10/2016	1	0.0
19	PMC5030591	9/2016	1	0.0
20	PMC5054480	9/2016	1	0.0
21	PMC4452099	6/2015	1	0.0
22	PMC5322422	2/2017	1	0.0
23	PMC5405075	4/2017	1	0.0
24	PMC4908484	6/2016	1	0.0
25	PMC3728489	7/2013	1	0.0
26	PMC4448820	5/2015	1	0.0
27	PMC3356951	4/2012	1	0.0
28	PMC3034879	12/2010	1	0.0
29	PMC3257641	3/2010	1	0.0
30	PMC3272870	12/2011	1	0.0
31	PMC3296991	2/2012	1	1.0
32	PMC3313761	3/2012	1	0.0
33	PMC3347028	3/2012	1	0.0
34	PMC3465343	10/2012	1	0.0
35	PMC4329745	10/2014	1	0.0
36	PMC3470091	9/2012	1	0.0
37	PMC3691177	6/2013	1	0.0
38	PMC3702245	6/2013	1	0.0
39	PMC2873552	4/2010	1	0.0
40	PMC4113768	7/2014	1	0.0
41	PMC4169453	9/2014	1	0.0
42	PMC5995352	6/2018	1	0.0
