	ARTICLE	ARTICLE DATE	NUM SENTENCES_x	NUM SENTENCES_y
0	PMC4448820	5/2015	22.0	0.0
1	PMC4251419	12/2014	17.0	0.0
2	PMC3717170	5/2013	13.0	1.0
3	PMC3277098	12/2011	13.0	0.0
4	PMC4889866	5/2016	11.0	0.0
5	PMC3347028	3/2012	10.0	0.0
6	PMC5489519	6/2017	8.0	0.0
7	PMC4302429	1/2015	8.0	1.0
8	PMC4691762	12/2015	7.0	1.0
9	PMC4113768	7/2014	6.0	0.0
10	PMC4684854	12/2015	5.0	0.0
11	PMC5679631	11/2017	5.0	0.0
12	PMC4329404	10/2014	4.0	0.0
13	PMC4896250	4/2016	4.0	0.0
14	PMC3728489	7/2013	4.0	0.0
15	PMC5579643	8/2017	4.0	0.0
16	PMC5716389	9/2017	4.0	0.0
17	PMC4979151	8/2016	4.0	0.0
18	PMC3472720	8/2012	4.0	0.0
19	PMC5418719	5/2017	3.0	0.0
20	PMC5659607	10/2017	3.0	0.0
21	PMC4514967	12/2014	3.0	0.0
22	PMC3695234	7/2013	3.0	0.0
23	PMC3702245	6/2013	3.0	0.0
24	PMC3476426	8/2012	3.0	0.0
25	PMC3773018	4/2013	3.0	0.0
26	PMC3004407	12/2010	3.0	0.0
27	PMC3427192	4/2012	3.0	0.0
28	PMC3395583	7/2012	3.0	0.0
29	PMC4488777	5/2015	2.0	0.0
30	PMC4377870	3/2015	2.0	0.0
31	BMJ_2010_Apr_29_340_c1640	4/2010	2.0	0.0
32	PMC4934634	11/2015	2.0	1.0
33	PMC5129897	10/2016	2.0	0.0
34	PMC5513133	7/2017	2.0	1.0
35	PMC5941617	5/2018	2.0	0.0
36	PMC5952272	5/2018	2.0	0.0
37	PMC4997421	8/2016	2.0	0.0
38	PMC5956785	5/2018	2.0	0.0
39	PMC3407995	7/2012	2.0	0.0
40	PMC4161853	8/2014	2.0	0.0
41	PMC3075531	7/2010	2.0	0.0
42	PMC3348565	4/2012	2.0	0.0
43	PMC3827489	10/2013	2.0	0.0
44	PMC3659910	1/2013	2.0	0.0
45	PMC3798907	8/2013	2.0	1.0
46	PMC3613945	2/2013	1.0	0.0
47	PMC5310660	1/2017	1.0	0.0
48	PMC5332602	3/2017	1.0	0.0
49	PMC5340372	3/2017	1.0	0.0
50	PMC5351212	3/2017	1.0	4.0
51	PMC5372327	3/2017	1.0	0.0
52	PMC5405075	4/2017	1.0	1.0
53	PMC3635901	4/2013	1.0	0.0
54	PMC4263713	12/2014	1.0	0.0
55	PMC3501517	11/2012	1.0	0.0
56	PMC5634602	10/2017	1.0	0.0
57	PMC5638722	8/2017	1.0	0.0
58	PMC3365381	3/2011	1.0	0.0
59	PMC3235789	12/2011	1.0	0.0
60	PMC5827025	2/2018	1.0	0.0
61	PMC2963768	10/2010	1.0	0.0
62	PMC5240436	1/2017	1.0	0.0
63	PMC5064894	10/2016	1.0	0.0
64	PMC5084016	10/2016	1.0	0.0
65	PMC4161944	9/2014	1.0	0.0
66	PMC2821652	2/2010	1.0	0.0
67	PMC4417995	4/2015	1.0	0.0
68	PMC4106226	7/2014	1.0	0.0
69	PMC4072587	6/2014	1.0	0.0
70	PMC4045304	2/2014	1.0	0.0
71	PMC3814422	10/2013	1.0	0.0
72	PMC4785305	3/2016	1.0	0.0
73	PMC4800340	5/2016	1.0	0.0
74	PMC4846845	4/2016	1.0	0.0
75	PMC4859539	5/2016	1.0	0.0
76	PMC3760821	9/2013	1.0	0.0
77	PMC4918713	6/2015	1.0	0.0
78	PMC3691177	6/2013	1.0	0.0
79	PMC4944244	7/2016	1.0	0.0
80	PMC3685533	6/2013	1.0	0.0
81	PMC3672018	5/2013	1.0	0.0
82	PMC5014971	8/2016	1.0	0.0
83	PMC4377879	3/2015	1.0	0.0
84	PMC5085625	9/2016	0.0	1.0
