	ARTICLE	ARTICLE DATE	NUM SENTENCES_x	NUM SENTENCES_y
0	PMC4113768	7/2014	7.0	0.0
1	PMC5941617	5/2018	6.0	1.0
2	PMC5758521	1/2018	6.0	0.0
3	PMC4673623	11/2015	4.0	0.0
4	PMC5014971	8/2016	3.0	0.0
5	PMC4516377	6/2015	3.0	0.0
6	PMC4045304	2/2014	3.0	0.0
7	PMC3427192	4/2012	3.0	0.0
8	PMC3695234	7/2013	3.0	0.0
9	PMC3613945	2/2013	3.0	0.0
10	PMC5952272	5/2018	2.0	0.0
11	PMC3888066	12/2012	2.0	0.0
12	PMC4934634	11/2015	2.0	0.0
13	PMC3827489	10/2013	2.0	0.0
14	PMC3717170	5/2013	2.0	0.0
15	PMC3659910	1/2013	2.0	1.0
16	PMC3668200	5/2013	2.0	0.0
17	PMC4499946	7/2015	2.0	1.0
18	PMC5129897	10/2016	2.0	0.0
19	PMC3424155	8/2012	2.0	0.0
20	PMC5418719	5/2017	1.0	0.0
21	PMC5831579	3/2018	1.0	0.0
22	PMC4632418	10/2015	1.0	0.0
23	PMC4670104	12/2015	1.0	0.0
24	PMC5707701	11/2017	1.0	0.0
25	PMC4684854	12/2015	1.0	0.0
26	PMC4689556	12/2015	1.0	0.0
27	PMC4690051	12/2015	1.0	0.0
28	PMC5685050	10/2014	1.0	1.0
29	PMC4976416	7/2016	1.0	0.0
30	PMC4785305	3/2016	1.0	0.0
31	PMC5024513	9/2016	1.0	0.0
32	PMC5410409	4/2017	1.0	0.0
33	PMC5273824	1/2017	1.0	0.0
34	PMC5155676	12/2016	1.0	1.0
35	PMC4944244	7/2016	1.0	0.0
36	PMC4969253	8/2016	1.0	0.0
37	PMC4516109	5/2015	1.0	0.0
38	PMC5051327	9/2016	1.0	0.0
39	PMC4910734	6/2015	1.0	1.0
40	PMC2290997	4/2008	1.0	1.0
41	PMC4448820	5/2015	1.0	0.0
42	PMC3476426	8/2012	1.0	0.0
43	PMC2873552	4/2010	1.0	0.0
44	PMC2874518	6/2010	1.0	0.0
45	PMC2913107	8/2010	1.0	0.0
46	PMC2963768	10/2010	1.0	0.0
47	PMC3032617	5/2010	1.0	0.0
48	PMC3171895	9/2011	1.0	0.0
49	PMC3257641	3/2010	1.0	0.0
50	PMC3277098	12/2011	1.0	0.0
51	PMC3347028	3/2012	1.0	0.0
52	PMC3465343	10/2012	1.0	0.0
53	PMC3470091	9/2012	1.0	1.0
54	PMC3515553	12/2012	1.0	0.0
55	PMC4417995	4/2015	1.0	0.0
56	PMC3515887	11/2012	1.0	0.0
57	PMC3685533	6/2013	1.0	0.0
58	PMC3702245	6/2013	1.0	0.0
59	PMC3855580	10/2013	1.0	0.0
60	PMC3973641	4/2014	1.0	0.0
61	PMC3991049	11/2013	1.0	0.0
62	PMC4188019	1/2010	1.0	0.0
63	PMC4302429	1/2015	1.0	0.0
64	PMC2821652	2/2010	1.0	0.0
65	PMC4377879	3/2015	1.0	0.0
66	PMC4404267	4/2015	1.0	0.0
67	PMC4303849	1/2015	1.0	0.0
68	PMC3356951	4/2012	0.0	1.0
69	PMC4329745	10/2014	0.0	1.0
70	PMC4392553	3/2015	0.0	1.0
71	PMC4466139	6/2015	0.0	1.0
72	PMC4488777	5/2015	0.0	1.0
73	PMC4989298	8/2016	0.0	1.0
74	PMC5546866	8/2017	0.0	1.0
