	ARTICLE	ARTICLE DATE	NUM SENTENCES
95	PMC5941617	5/2018	63
30	PMC4113768	7/2014	56
22	PMC3702245	6/2013	32
74	PMC5155676	12/2016	23
60	PMC4934634	11/2015	21
4	PMC2963768	10/2010	21
31	PMC4169453	9/2014	21
72	PMC5129897	10/2016	19
79	PMC5418719	5/2017	17
18	PMC3641012	4/2013	17
11	PMC3347028	3/2012	17
46	PMC4719746	1/2016	16
59	PMC4930210	7/2016	15
97	PMC6011374	6/2018	15
96	PMC5956785	5/2018	15
48	PMC4785305	3/2016	14
89	PMC5659607	10/2017	13
85	PMC5537904	7/2017	13
93	PMC5732505	12/2017	11
61	PMC4944244	7/2016	11
8	PMC3277098	12/2011	11
14	PMC3427192	4/2012	11
6	PMC3257641	3/2010	10
86	PMC5546866	8/2017	10
92	PMC5706533	11/2017	10
69	PMC5084041	10/2016	10
2	PMC2821652	2/2010	9
28	PMC3873449	12/2013	9
12	PMC3356951	4/2012	8
91	PMC5679631	11/2017	8
51	PMC4811441	3/2016	7
34	PMC4380518	9/2014	7
70	PMC5085625	9/2016	7
26	PMC3814422	10/2013	7
7	PMC3271033	1/2012	7
33	PMC4251419	12/2014	6
84	PMC5524288	7/2017	6
66	PMC5045784	10/2016	6
36	PMC4427001	4/2015	6
62	PMC4973215	8/2016	6
39	PMC4598849	10/2015	6
40	PMC4632418	10/2015	6
16	PMC3552819	12/2012	6
83	PMC5513133	7/2017	6
78	PMC5405075	4/2017	5
50	PMC4811107	3/2016	5
0	PMC2290997	4/2008	5
19	PMC3659910	1/2013	5
13	PMC3407995	7/2012	5
44	PMC4690051	12/2015	5
5	PMC3004407	12/2010	5
35	PMC4396835	1/2015	5
21	PMC3691177	6/2013	5
24	PMC3773018	4/2013	4
23	PMC3705320	3/2013	4
87	PMC5634602	10/2017	4
25	PMC3809191	1/2013	4
54	PMC4859539	5/2016	4
52	PMC4829940	5/2016	4
9	PMC3296991	2/2012	3
32	PMC4231606	10/2013	3
76	PMC5340372	3/2017	3
75	PMC5310660	1/2017	3
27	PMC3827489	10/2013	3
10	PMC3347007	4/2012	2
15	PMC3427250	8/2012	2
73	PMC5146866	12/2016	2
20	PMC3668200	5/2013	2
82	PMC5489519	6/2017	2
80	PMC5426325	4/2017	2
94	PMC5827025	2/2018	2
3	PMC2913107	8/2010	2
77	PMC5371920	3/2017	2
47	PMC4764019	1/2016	2
1	PMC2798111	12/2010	2
68	PMC5064894	10/2016	2
67	PMC5062906	10/2016	2
55	PMC4889866	5/2016	2
37	PMC4448820	5/2015	2
38	PMC4499946	7/2015	2
42	PMC4684854	12/2015	2
45	PMC4691762	12/2015	1
58	PMC4929134	8/2016	1
43	PMC4689556	12/2015	1
53	PMC4832516	10/2015	1
56	PMC4896250	4/2016	1
57	PMC4903143	5/2016	1
90	PMC5664622	9/2017	1
17	PMC3613945	2/2013	1
88	PMC5638722	8/2017	1
71	PMC5095257	11/2016	1
41	PMC4632423	10/2015	1
63	PMC4979151	8/2016	1
81	PMC5487839	3/2016	1
64	PMC4992225	8/2016	1
65	PMC5024513	9/2016	1
29	PMC3933171	3/2014	1
49	PMC4800340	5/2016	1
