	ARTICLE	ARTICLE DATE	NUM SENTENCES
4	PMC3471827	10/2012	8
3	PMC3465343	10/2012	5
22	PMC5679631	11/2017	3
15	PMC4488777	5/2015	3
23	PMC5716389	9/2017	2
9	PMC3713405	7/2013	2
16	PMC4934634	11/2015	2
0	PMC1168874	7/2005	1
14	PMC4392531	3/2015	1
21	PMC5264377	7/2016	1
20	PMC5133057	10/2016	1
19	PMC5084016	10/2016	1
18	PMC5054480	9/2016	1
17	PMC4969253	8/2016	1
12	PMC4340999	3/2015	1
13	PMC4346113	3/2015	1
1	PMC3171895	9/2011	1
11	PMC4303849	1/2015	1
10	PMC3991049	11/2013	1
8	PMC3702245	6/2013	1
7	PMC3651971	5/2013	1
6	PMC3641012	4/2013	1
5	PMC3488410	10/2012	1
2	PMC3257641	3/2010	1
24	PMC5941617	5/2018	1
