	ARTICLE	ARTICLE DATE	NUM SENTENCES
38	PMC4113768	7/2014	30
44	PMC4329404	10/2014	12
98	PMC5941617	5/2018	9
46	PMC4340999	3/2015	7
34	PMC3798907	8/2013	6
29	PMC3702245	6/2013	6
9	PMC3257641	3/2010	6
13	PMC3347028	3/2012	5
32	PMC3739737	8/2013	5
47	PMC4377870	3/2015	4
15	PMC3356951	4/2012	4
19	PMC3427192	4/2012	4
77	PMC5039809	10/2016	3
81	PMC5146866	12/2016	3
82	PMC5155676	12/2016	3
1	PMC1448690	4/2006	3
54	PMC4452099	6/2015	3
36	PMC3827489	10/2013	3
71	PMC4969253	8/2016	3
31	PMC3713405	7/2013	3
50	PMC4396835	1/2015	3
96	PMC5784894	1/2018	3
6	PMC2889879	5/2010	3
18	PMC3407995	7/2012	3
89	PMC5426325	4/2017	2
14	PMC3348565	4/2012	2
66	PMC4896250	4/2016	2
69	PMC4934634	11/2015	2
58	PMC4684854	12/2015	2
2	PMC2290997	4/2008	2
97	PMC5838372	3/2018	2
73	PMC4976416	7/2016	2
95	PMC5706533	11/2017	2
8	PMC3075531	7/2010	2
43	PMC4277121	12/2015	2
63	PMC4832516	10/2015	2
20	PMC3427250	8/2012	2
23	PMC3472720	8/2012	2
86	PMC5372327	3/2017	2
26	PMC3672018	5/2013	2
33	PMC3760821	9/2013	2
65	PMC4859539	5/2016	2
27	PMC3679329	6/2013	2
28	PMC3685533	6/2013	2
75	PMC4998950	4/2016	1
67	PMC4897157	5/2016	1
68	PMC4903143	5/2016	1
87	PMC5405075	4/2017	1
70	PMC4949006	7/2016	1
72	PMC4971719	8/2016	1
74	PMC4989298	8/2016	1
91	PMC5521778	7/2017	1
83	PMC5273824	1/2017	1
76	PMC5028238	10/2016	1
85	PMC5340372	3/2017	1
78	PMC5045784	10/2016	1
94	PMC5679631	11/2017	1
90	PMC5474873	6/2017	1
88	PMC5418719	5/2017	1
80	PMC5129897	10/2016	1
93	PMC5634602	10/2017	1
92	PMC5594587	9/2017	1
84	PMC5322422	2/2017	1
79	PMC5062906	10/2016	1
0	BMJ_2010_Apr_29_340_c1640	4/2010	1
64	PMC4846845	4/2016	1
16	PMC3395583	7/2012	1
30	PMC3704911	7/2013	1
25	PMC3613945	2/2013	1
24	PMC3476426	8/2012	1
22	PMC3465343	10/2012	1
21	PMC3432839	8/2012	1
17	PMC3403156	7/2012	1
12	PMC3309463	6/2011	1
37	PMC3888066	12/2012	1
11	PMC3296991	2/2012	1
10	PMC3277098	12/2011	1
7	PMC2913107	8/2010	1
5	PMC2872349	4/2010	1
4	PMC2821652	2/2010	1
3	PMC2396486	6/2008	1
35	PMC3814422	10/2013	1
39	PMC4161853	8/2014	1
62	PMC4829940	5/2016	1
53	PMC4448820	5/2015	1
61	PMC4785305	3/2016	1
60	PMC4764019	1/2016	1
59	PMC4714725	1/2016	1
57	PMC4632418	10/2015	1
56	PMC4595656	10/2015	1
55	PMC4499946	7/2015	1
52	PMC4417995	4/2015	1
40	PMC4169453	9/2014	1
51	PMC4405493	4/2015	1
49	PMC4383575	1/2015	1
48	PMC4380518	9/2014	1
45	PMC4329745	10/2014	1
42	PMC4256222	12/2014	1
41	PMC4171568	9/2014	1
99	PMC5956785	5/2018	1
