	ARTICLE	ARTICLE DATE	NUM SENTENCES_x	NUM SENTENCES_y
0	PMC3702245	6/2013	2.0	0.0
1	PMC3717170	5/2013	2.0	0.0
2	PMC4417995	4/2015	2.0	0.0
3	PMC5332602	3/2017	2.0	0.0
4	PMC3075531	7/2010	1.0	0.0
5	PMC3277098	12/2011	1.0	0.0
6	PMC3347028	3/2012	1.0	0.0
7	PMC3356951	4/2012	1.0	0.0
8	PMC3552819	12/2012	1.0	0.0
9	PMC4113768	7/2014	1.0	0.0
10	PMC4466139	6/2015	1.0	0.0
11	PMC4908484	6/2016	1.0	0.0
12	PMC4997421	8/2016	1.0	0.0
13	PMC5051327	9/2016	1.0	0.0
14	PMC5513133	7/2017	1.0	0.0
15	PMC5995352	6/2018	0.0	1.0
