	ARTICLE	ARTICLE DATE	NUM SENTENCES
38	PMC5941617	5/2018	16
6	PMC3427192	4/2012	10
36	PMC5340372	3/2017	8
20	PMC4377870	3/2015	7
19	PMC4113768	7/2014	7
26	PMC4691762	12/2015	5
30	PMC4934634	11/2015	5
33	PMC5064894	10/2016	4
32	PMC5045784	10/2016	4
35	PMC5129897	10/2016	4
27	PMC4889866	5/2016	3
9	PMC3695234	7/2013	2
10	PMC3702245	6/2013	2
15	PMC3814422	10/2013	2
16	PMC3827489	10/2013	2
28	PMC4896250	4/2016	2
37	PMC5634602	10/2017	2
21	PMC4448820	5/2015	2
24	PMC4684854	12/2015	1
31	PMC4997421	8/2016	1
34	PMC5084016	10/2016	1
29	PMC4897157	5/2016	1
25	PMC4689556	12/2015	1
0	PMC3075531	7/2010	1
23	PMC4514967	12/2014	1
22	PMC4499946	7/2015	1
1	PMC3277098	12/2011	1
18	PMC3933171	3/2014	1
17	PMC3829803	11/2013	1
14	PMC3798907	8/2013	1
13	PMC3728489	7/2013	1
12	PMC3717170	5/2013	1
11	PMC3704911	7/2013	1
8	PMC3691177	6/2013	1
7	PMC3599191	1/2013	1
5	PMC3417531	7/2012	1
4	PMC3407995	7/2012	1
3	PMC3348565	4/2012	1
2	PMC3347028	3/2012	1
39	PMC6043562	7/2018	1
