	ARTICLE	ARTICLE DATE	NUM SENTENCES
4	PMC3515553	12/2012	8
7	PMC3773018	4/2013	4
9	PMC4383226	2/2015	3
3	PMC3427192	4/2012	2
6	PMC3613945	2/2013	2
8	PMC4113768	7/2014	2
11	PMC5546866	8/2017	2
0	PMC2996405	11/2010	1
1	PMC3257641	3/2010	1
2	PMC3309463	6/2011	1
5	PMC3582478	2/2013	1
10	PMC5062906	10/2016	1
