	ARTICLE	ARTICLE DATE	NUM SENTENCES
101	PMC5941617	5/2018	29
51	PMC4329404	10/2014	15
45	PMC4113768	7/2014	14
30	PMC3672018	5/2013	14
100	PMC5784894	1/2018	10
11	PMC3271033	1/2012	8
10	PMC3257641	3/2010	8
55	PMC4452099	6/2015	7
62	PMC4691762	12/2015	6
64	PMC4764019	1/2016	6
21	PMC3427192	4/2012	6
72	PMC4934634	11/2015	6
99	PMC5758521	1/2018	6
12	PMC3277098	12/2011	5
60	PMC4684854	12/2015	4
89	PMC5405075	4/2017	4
47	PMC4256222	12/2014	4
53	PMC4340999	3/2015	4
18	PMC3407995	7/2012	4
31	PMC3685533	6/2013	4
1	PMC2290997	4/2008	3
102	PMC5952272	5/2018	3
32	PMC3691177	6/2013	3
57	PMC4595656	10/2015	3
28	PMC3659910	1/2013	3
61	PMC4689556	12/2015	3
96	PMC5659607	10/2017	3
94	PMC5537904	7/2017	3
70	PMC4889866	5/2016	3
42	PMC4045304	2/2014	3
75	PMC4989298	8/2016	3
104	PMC5995352	6/2018	3
90	PMC5418719	5/2017	2
59	PMC4627942	10/2015	2
68	PMC4811107	3/2016	2
92	PMC5474873	6/2017	2
74	PMC4969253	8/2016	2
103	PMC5956785	5/2018	2
82	PMC5084016	10/2016	2
0	BMJ_2010_Apr_29_340_c1640	4/2010	2
7	PMC3061267	2/2011	2
20	PMC3424155	8/2012	2
15	PMC3347028	3/2012	2
8	PMC3075531	7/2010	2
26	PMC3629265	4/2013	2
6	PMC3034879	12/2010	2
27	PMC3651971	5/2013	2
4	PMC2889879	5/2010	2
39	PMC3773018	4/2013	2
79	PMC4998950	4/2016	1
80	PMC5045784	10/2016	1
78	PMC4997567	8/2016	1
81	PMC5064894	10/2016	1
77	PMC4997421	8/2016	1
83	PMC5129897	10/2016	1
84	PMC5310660	1/2017	1
85	PMC5322422	2/2017	1
86	PMC5351212	3/2017	1
87	PMC5372327	3/2017	1
40	PMC3798907	8/2013	1
14	PMC3338544	4/2012	1
88	PMC5385921	4/2017	1
16	PMC3385441	2/2012	1
13	PMC3319623	4/2012	1
91	PMC5426325	4/2017	1
9	PMC3103150	3/2011	1
93	PMC5521778	7/2017	1
95	PMC5634602	10/2017	1
97	PMC5679631	11/2017	1
98	PMC5716389	9/2017	1
5	PMC2963768	10/2010	1
3	PMC2872349	4/2010	1
2	PMC2685863	5/2009	1
76	PMC4990268	8/2016	1
19	PMC3417531	7/2012	1
17	PMC3395583	7/2012	1
73	PMC4949006	7/2016	1
43	PMC4072587	6/2014	1
44	PMC4106226	7/2014	1
38	PMC3728489	7/2013	1
46	PMC4171568	9/2014	1
37	PMC3717763	8/2013	1
48	PMC4263713	12/2014	1
49	PMC4277121	12/2015	1
50	PMC4303849	1/2015	1
36	PMC3717170	5/2013	1
35	PMC3713405	7/2013	1
34	PMC3702245	6/2013	1
54	PMC4417995	4/2015	1
33	PMC3695234	7/2013	1
56	PMC4466139	6/2015	1
29	PMC3668200	5/2013	1
58	PMC4624803	10/2015	1
25	PMC3613945	2/2013	1
24	PMC3515553	12/2012	1
63	PMC4730270	12/2015	1
23	PMC3509518	11/2012	1
65	PMC4770602	1/2016	1
66	PMC4785305	3/2016	1
67	PMC4800340	5/2016	1
22	PMC3472720	8/2012	1
69	PMC4877864	6/2015	1
71	PMC4896250	4/2016	1
41	PMC3991049	11/2013	1
52	PMC4329745	10/2014	1
