	ARTICLE	ARTICLE DATE	NUM SENTENCES_x	NUM SENTENCES_y
0	PMC5941617	5/2018	4.0	0.0
1	PMC5546866	8/2017	4.0	0.0
2	PMC4499946	7/2015	3.0	0.0
3	PMC3476426	8/2012	2.0	0.0
4	PMC5812027	2/2018	2.0	0.0
5	PMC5405075	4/2017	2.0	0.0
6	PMC5084016	10/2016	2.0	0.0
7	PMC3717170	5/2013	2.0	0.0
8	PMC2821652	2/2010	2.0	0.0
9	PMC2996405	11/2010	2.0	0.0
10	PMC3347028	3/2012	2.0	0.0
11	PMC3613945	2/2013	1.0	0.0
12	PMC3659910	1/2013	1.0	0.0
13	PMC5956785	5/2018	1.0	0.0
14	PMC3075531	7/2010	1.0	0.0
15	PMC5664622	9/2017	1.0	0.0
16	PMC5489519	6/2017	1.0	0.0
17	PMC3395583	7/2012	1.0	0.0
18	PMC5372327	3/2017	1.0	0.0
19	PMC5155676	12/2016	1.0	0.0
20	PMC5085625	9/2016	1.0	0.0
21	PMC3427192	4/2012	1.0	0.0
22	PMC5062906	10/2016	1.0	0.0
23	PMC4971719	8/2016	1.0	0.0
24	PMC4934634	11/2015	1.0	0.0
25	PMC2963768	10/2010	1.0	0.0
26	PMC4303849	1/2015	1.0	0.0
27	PMC4302429	1/2015	1.0	0.0
28	PMC4045304	2/2014	1.0	0.0
29	PMC3470091	9/2012	1.0	0.0
30	PMC6011374	6/2018	1.0	0.0
31	PMC3356951	4/2012	0.0	1.0
32	PMC3427250	8/2012	0.0	1.0
33	PMC4113768	7/2014	0.0	1.0
34	PMC4785305	3/2016	0.0	1.0
