	ARTICLE	ARTICLE DATE	NUM SENTENCES_x	NUM SENTENCES_y
0	PMC5941617	5/2018	63.0	4.0
1	PMC4113768	7/2014	56.0	19.0
2	PMC3702245	6/2013	32.0	2.0
3	PMC5155676	12/2016	23.0	2.0
4	PMC4934634	11/2015	21.0	3.0
5	PMC2963768	10/2010	21.0	4.0
6	PMC4169453	9/2014	21.0	8.0
7	PMC5129897	10/2016	19.0	1.0
8	PMC5418719	5/2017	17.0	8.0
9	PMC3641012	4/2013	17.0	10.0
10	PMC3347028	3/2012	17.0	2.0
11	PMC4719746	1/2016	16.0	3.0
12	PMC4930210	7/2016	15.0	2.0
13	PMC6011374	6/2018	15.0	5.0
14	PMC5956785	5/2018	15.0	4.0
15	PMC4785305	3/2016	14.0	1.0
16	PMC5659607	10/2017	13.0	3.0
17	PMC5537904	7/2017	13.0	3.0
18	PMC5732505	12/2017	11.0	5.0
19	PMC4944244	7/2016	11.0	2.0
20	PMC3277098	12/2011	11.0	1.0
21	PMC3427192	4/2012	11.0	0.0
22	PMC3257641	3/2010	10.0	1.0
23	PMC5546866	8/2017	10.0	1.0
24	PMC5706533	11/2017	10.0	2.0
25	PMC5084041	10/2016	10.0	4.0
26	PMC2821652	2/2010	9.0	2.0
27	PMC3873449	12/2013	9.0	5.0
28	PMC3356951	4/2012	8.0	0.0
29	PMC5679631	11/2017	8.0	4.0
30	PMC4811441	3/2016	7.0	1.0
31	PMC4380518	9/2014	7.0	0.0
32	PMC5085625	9/2016	7.0	0.0
33	PMC3814422	10/2013	7.0	0.0
34	PMC3271033	1/2012	7.0	2.0
35	PMC4251419	12/2014	6.0	2.0
36	PMC5524288	7/2017	6.0	2.0
37	PMC5045784	10/2016	6.0	1.0
38	PMC4427001	4/2015	6.0	1.0
39	PMC4973215	8/2016	6.0	0.0
40	PMC4598849	10/2015	6.0	1.0
41	PMC4632418	10/2015	6.0	1.0
42	PMC3552819	12/2012	6.0	1.0
43	PMC5513133	7/2017	6.0	0.0
44	PMC5405075	4/2017	5.0	0.0
45	PMC4811107	3/2016	5.0	0.0
46	PMC2290997	4/2008	5.0	1.0
47	PMC3659910	1/2013	5.0	1.0
48	PMC3407995	7/2012	5.0	1.0
49	PMC4690051	12/2015	5.0	2.0
50	PMC3004407	12/2010	5.0	4.0
51	PMC4396835	1/2015	5.0	0.0
52	PMC3691177	6/2013	5.0	1.0
53	PMC3773018	4/2013	4.0	2.0
54	PMC3705320	3/2013	4.0	3.0
55	PMC5634602	10/2017	4.0	0.0
56	PMC3809191	1/2013	4.0	0.0
57	PMC4859539	5/2016	4.0	2.0
58	PMC4829940	5/2016	4.0	0.0
59	PMC3296991	2/2012	3.0	0.0
60	PMC4231606	10/2013	3.0	4.0
61	PMC5340372	3/2017	3.0	0.0
62	PMC5310660	1/2017	3.0	0.0
63	PMC3827489	10/2013	3.0	0.0
64	PMC3347007	4/2012	2.0	0.0
65	PMC3427250	8/2012	2.0	0.0
66	PMC5146866	12/2016	2.0	2.0
67	PMC3668200	5/2013	2.0	2.0
68	PMC5489519	6/2017	2.0	1.0
69	PMC5426325	4/2017	2.0	0.0
70	PMC5827025	2/2018	2.0	2.0
71	PMC2913107	8/2010	2.0	0.0
72	PMC5371920	3/2017	2.0	0.0
73	PMC4764019	1/2016	2.0	0.0
74	PMC2798111	12/2010	2.0	1.0
75	PMC5064894	10/2016	2.0	0.0
76	PMC5062906	10/2016	2.0	1.0
77	PMC4889866	5/2016	2.0	0.0
78	PMC4448820	5/2015	2.0	0.0
79	PMC4499946	7/2015	2.0	3.0
80	PMC4684854	12/2015	2.0	0.0
81	PMC4691762	12/2015	1.0	0.0
82	PMC4929134	8/2016	1.0	1.0
83	PMC4689556	12/2015	1.0	1.0
84	PMC4832516	10/2015	1.0	0.0
85	PMC4896250	4/2016	1.0	0.0
86	PMC4903143	5/2016	1.0	0.0
87	PMC5664622	9/2017	1.0	0.0
88	PMC3613945	2/2013	1.0	0.0
89	PMC5638722	8/2017	1.0	0.0
90	PMC5095257	11/2016	1.0	0.0
91	PMC4632423	10/2015	1.0	1.0
92	PMC4979151	8/2016	1.0	0.0
93	PMC5487839	3/2016	1.0	0.0
94	PMC4992225	8/2016	1.0	0.0
95	PMC5024513	9/2016	1.0	0.0
96	PMC3933171	3/2014	1.0	0.0
97	PMC4800340	5/2016	1.0	0.0
98	PMC5685050	10/2014	0.0	2.0
99	PMC4256222	12/2014	0.0	1.0
100	PMC3513049	2/2012	0.0	1.0
101	PMC4971719	8/2016	0.0	1.0
