	ARTICLE	ARTICLE DATE	NUM SENTENCES_x	NUM SENTENCES_y
0	PMC4113768	7/2014	30.0	3.0
1	PMC4329404	10/2014	12.0	0.0
2	PMC5941617	5/2018	9.0	0.0
3	PMC4340999	3/2015	7.0	0.0
4	PMC3798907	8/2013	6.0	0.0
5	PMC3702245	6/2013	6.0	0.0
6	PMC3257641	3/2010	6.0	0.0
7	PMC3347028	3/2012	5.0	0.0
8	PMC3739737	8/2013	5.0	3.0
9	PMC4377870	3/2015	4.0	0.0
10	PMC3356951	4/2012	4.0	1.0
11	PMC3427192	4/2012	4.0	0.0
12	PMC5039809	10/2016	3.0	0.0
13	PMC5146866	12/2016	3.0	0.0
14	PMC5155676	12/2016	3.0	0.0
15	PMC1448690	4/2006	3.0	0.0
16	PMC4452099	6/2015	3.0	0.0
17	PMC3827489	10/2013	3.0	1.0
18	PMC4969253	8/2016	3.0	3.0
19	PMC3713405	7/2013	3.0	0.0
20	PMC4396835	1/2015	3.0	0.0
21	PMC5784894	1/2018	3.0	0.0
22	PMC2889879	5/2010	3.0	0.0
23	PMC3407995	7/2012	3.0	0.0
24	PMC5426325	4/2017	2.0	0.0
25	PMC3348565	4/2012	2.0	0.0
26	PMC4896250	4/2016	2.0	1.0
27	PMC4934634	11/2015	2.0	0.0
28	PMC4684854	12/2015	2.0	0.0
29	PMC2290997	4/2008	2.0	0.0
30	PMC5838372	3/2018	2.0	0.0
31	PMC4976416	7/2016	2.0	0.0
32	PMC5706533	11/2017	2.0	0.0
33	PMC3075531	7/2010	2.0	0.0
34	PMC4277121	12/2015	2.0	0.0
35	PMC4832516	10/2015	2.0	0.0
36	PMC3427250	8/2012	2.0	1.0
37	PMC3472720	8/2012	2.0	0.0
38	PMC5372327	3/2017	2.0	0.0
39	PMC3672018	5/2013	2.0	2.0
40	PMC3760821	9/2013	2.0	0.0
41	PMC4859539	5/2016	2.0	0.0
42	PMC3679329	6/2013	2.0	0.0
43	PMC3685533	6/2013	2.0	0.0
44	PMC4998950	4/2016	1.0	0.0
45	PMC4897157	5/2016	1.0	0.0
46	PMC4903143	5/2016	1.0	0.0
47	PMC5405075	4/2017	1.0	0.0
48	PMC4949006	7/2016	1.0	0.0
49	PMC4971719	8/2016	1.0	0.0
50	PMC4989298	8/2016	1.0	0.0
51	PMC5521778	7/2017	1.0	0.0
52	PMC5273824	1/2017	1.0	1.0
53	PMC5028238	10/2016	1.0	0.0
54	PMC5340372	3/2017	1.0	0.0
55	PMC5045784	10/2016	1.0	0.0
56	PMC5679631	11/2017	1.0	0.0
57	PMC5474873	6/2017	1.0	0.0
58	PMC5418719	5/2017	1.0	0.0
59	PMC5129897	10/2016	1.0	0.0
60	PMC5634602	10/2017	1.0	0.0
61	PMC5594587	9/2017	1.0	0.0
62	PMC5322422	2/2017	1.0	0.0
63	PMC5062906	10/2016	1.0	2.0
64	BMJ_2010_Apr_29_340_c1640	4/2010	1.0	0.0
65	PMC4846845	4/2016	1.0	0.0
66	PMC3395583	7/2012	1.0	0.0
67	PMC3704911	7/2013	1.0	0.0
68	PMC3613945	2/2013	1.0	0.0
69	PMC3476426	8/2012	1.0	0.0
70	PMC3465343	10/2012	1.0	1.0
71	PMC3432839	8/2012	1.0	0.0
72	PMC3403156	7/2012	1.0	0.0
73	PMC3309463	6/2011	1.0	0.0
74	PMC3888066	12/2012	1.0	0.0
75	PMC3296991	2/2012	1.0	0.0
76	PMC3277098	12/2011	1.0	0.0
77	PMC2913107	8/2010	1.0	0.0
78	PMC2872349	4/2010	1.0	0.0
79	PMC2821652	2/2010	1.0	0.0
80	PMC2396486	6/2008	1.0	0.0
81	PMC3814422	10/2013	1.0	0.0
82	PMC4161853	8/2014	1.0	0.0
83	PMC4829940	5/2016	1.0	0.0
84	PMC4448820	5/2015	1.0	0.0
85	PMC4785305	3/2016	1.0	0.0
86	PMC4764019	1/2016	1.0	0.0
87	PMC4714725	1/2016	1.0	0.0
88	PMC4632418	10/2015	1.0	0.0
89	PMC4595656	10/2015	1.0	0.0
90	PMC4499946	7/2015	1.0	0.0
91	PMC4417995	4/2015	1.0	0.0
92	PMC4169453	9/2014	1.0	0.0
93	PMC4405493	4/2015	1.0	0.0
94	PMC4383575	1/2015	1.0	0.0
95	PMC4380518	9/2014	1.0	0.0
96	PMC4329745	10/2014	1.0	0.0
97	PMC4256222	12/2014	1.0	0.0
98	PMC4171568	9/2014	1.0	0.0
99	PMC5956785	5/2018	1.0	0.0
100	PMC5024513	9/2016	0.0	1.0
101	PMC4377888	3/2015	0.0	1.0
102	PMC3338544	4/2012	0.0	1.0
103	PMC3355895	1/2011	0.0	1.0
104	PMC3515887	11/2012	0.0	1.0
105	PMC3424155	8/2012	0.0	1.0
