	ARTICLE	ARTICLE DATE	NUM SENTENCES_x	NUM SENTENCES_y
0	PMC4113768	7/2014	45.0	12.0
1	PMC3659910	1/2013	44.0	7.0
2	PMC3873449	12/2013	44.0	5.0
3	PMC4684854	12/2015	41.0	1.0
4	PMC3702245	6/2013	41.0	1.0
5	PMC4934634	11/2015	40.0	6.0
6	PMC3347028	3/2012	39.0	3.0
7	PMC6011374	6/2018	37.0	4.0
8	PMC5014971	8/2016	34.0	2.0
9	PMC4971719	8/2016	33.0	7.0
10	PMC3427250	8/2012	32.0	14.0
11	PMC5941617	5/2018	32.0	3.0
12	PMC3407995	7/2012	31.0	10.0
13	PMC4930210	7/2016	31.0	3.0
14	PMC3257641	3/2010	29.0	0.0
15	PMC5513133	7/2017	28.0	2.0
16	PMC5155676	12/2016	26.0	9.0
17	PMC3347007	4/2012	26.0	11.0
18	PMC4072587	6/2014	26.0	4.0
19	PMC5706533	11/2017	25.0	8.0
20	PMC4973215	8/2016	25.0	2.0
21	PMC5405075	4/2017	25.0	2.0
22	PMC4719746	1/2016	25.0	4.0
23	PMC4405493	4/2015	24.0	9.0
24	PMC5812027	2/2018	23.0	2.0
25	PMC4944244	7/2016	21.0	6.0
26	PMC4785305	3/2016	21.0	2.0
27	PMC4499946	7/2015	21.0	7.0
28	PMC3691177	6/2013	20.0	6.0
29	PMC5537904	7/2017	19.0	4.0
30	PMC4689556	12/2015	19.0	5.0
31	PMC5838372	3/2018	19.0	4.0
32	PMC5659607	10/2017	19.0	3.0
33	PMC4770602	1/2016	18.0	3.0
34	PMC5664622	9/2017	18.0	1.0
35	PMC5051327	9/2016	17.0	4.0
36	PMC3672018	5/2013	17.0	0.0
37	PMC4632418	10/2015	16.0	4.0
38	PMC5085625	9/2016	16.0	0.0
39	PMC5084041	10/2016	16.0	4.0
40	PMC3515553	12/2012	15.0	1.0
41	PMC3004407	12/2010	15.0	4.0
42	PMC5539754	8/2017	15.0	0.0
43	PMC4992225	8/2016	15.0	5.0
44	PMC2582131	11/2008	15.0	0.0
45	PMC4427001	4/2015	15.0	3.0
46	PMC4452099	6/2015	15.0	1.0
47	PMC3685533	6/2013	14.0	2.0
48	PMC5426325	4/2017	14.0	0.0
49	PMC3991049	11/2013	14.0	3.0
50	PMC3760821	9/2013	14.0	3.0
51	PMC5827025	2/2018	13.0	5.0
52	PMC4729160	1/2016	13.0	2.0
53	PMC3798907	8/2013	13.0	0.0
54	PMC5035678	4/2016	13.0	0.0
55	PMC4256222	12/2014	13.0	9.0
56	PMC4466139	6/2015	13.0	3.0
57	PMC5064894	10/2016	12.0	3.0
58	PMC3032617	5/2010	12.0	8.0
59	PMC3034879	12/2010	12.0	5.0
60	PMC5385921	4/2017	12.0	3.0
61	PMC4811441	3/2016	12.0	1.0
62	PMC4380518	9/2014	12.0	1.0
63	PMC4990268	8/2016	11.0	3.0
64	PMC5732505	12/2017	11.0	3.0
65	PMC4949006	7/2016	11.0	0.0
66	PMC3814422	10/2013	11.0	0.0
67	PMC4221707	11/2014	10.0	0.0
68	PMC4598849	10/2015	10.0	1.0
69	PMC4340999	3/2015	10.0	0.0
70	PMC3641012	4/2013	10.0	4.0
71	PMC2821652	2/2010	9.0	3.0
72	PMC3705320	3/2013	9.0	0.0
73	BMJ_2010_Apr_29_340_c1640	4/2010	9.0	0.0
74	PMC3472720	8/2012	9.0	3.0
75	PMC3827489	10/2013	9.0	0.0
76	PMC5045784	10/2016	8.0	0.0
77	PMC3107676	4/2011	8.0	2.0
78	PMC4979151	8/2016	8.0	2.0
79	PMC2606998	6/2007	8.0	5.0
80	PMC3651971	5/2013	8.0	4.0
81	PMC4396835	1/2015	8.0	0.0
82	PMC3509518	11/2012	8.0	0.0
83	PMC5418719	5/2017	8.0	2.0
84	PMC3395583	7/2012	8.0	1.0
85	PMC3668200	5/2013	7.0	1.0
86	PMC3235789	12/2011	7.0	0.0
87	PMC2581757	11/2008	7.0	0.0
88	PMC5623264	9/2017	7.0	0.0
89	PMC3470091	9/2012	7.0	1.0
90	PMC3773018	4/2013	7.0	0.0
91	PMC4778858	3/2016	7.0	0.0
92	PMC3809191	1/2013	7.0	0.0
93	PMC5524288	7/2017	7.0	0.0
94	PMC3552819	12/2012	7.0	0.0
95	PMC4997421	8/2016	7.0	0.0
96	PMC4998950	4/2016	7.0	0.0
97	PMC5133057	10/2016	7.0	0.0
98	PMC5146866	12/2016	7.0	3.0
99	PMC4903143	5/2016	7.0	0.0
100	PMC4889866	5/2016	7.0	0.0
101	PMC5359891	3/2017	7.0	0.0
102	PMC4624803	10/2015	6.0	0.0
103	PMC3888066	12/2012	6.0	1.0
104	PMC2872349	4/2010	6.0	1.0
105	PMC4811107	3/2016	6.0	0.0
106	PMC3717170	5/2013	6.0	0.0
107	PMC5024513	9/2016	6.0	0.0
108	PMC3171895	9/2011	6.0	1.0
109	PMC5638722	8/2017	6.0	3.0
110	PMC3296991	2/2012	6.0	2.0
111	PMC5318550	2/2017	6.0	4.0
112	PMC5118763	12/2016	6.0	6.0
113	PMC4448820	5/2015	5.0	1.0
114	PMC3103150	3/2011	5.0	1.0
115	PMC2913107	8/2010	5.0	0.0
116	PMC4377879	3/2015	5.0	1.0
117	PMC3424155	8/2012	5.0	1.0
118	PMC4188019	1/2010	5.0	7.0
119	PMC4969253	8/2016	5.0	1.0
120	PMC3355895	1/2011	5.0	1.0
121	PMC5546866	8/2017	5.0	5.0
122	PMC6043562	7/2018	5.0	3.0
123	PMC4690051	12/2015	5.0	3.0
124	PMC4329404	10/2014	5.0	8.0
125	PMC5310660	1/2017	5.0	0.0
126	PMC5995352	6/2018	5.0	4.0
127	PMC4627942	10/2015	5.0	0.0
128	PMC3465343	10/2012	5.0	1.0
129	PMC5084016	10/2016	5.0	1.0
130	PMC3705146	5/2013	5.0	0.0
131	PMC5634602	10/2017	5.0	0.0
132	PMC3521768	12/2012	5.0	5.0
133	PMC4586451	10/2015	5.0	0.0
134	PMC4595656	10/2015	5.0	0.0
135	PMC4417995	4/2015	4.0	0.0
136	PMC3277098	12/2011	4.0	2.0
137	PMC3679329	6/2013	4.0	1.0
138	PMC3427192	4/2012	4.0	0.0
139	PMC3702339	6/2013	4.0	2.0
140	PMC4303849	1/2015	4.0	0.0
141	PMC2841444	2/2010	4.0	0.0
142	PMC5679631	11/2017	4.0	2.0
143	PMC3713405	7/2013	4.0	0.0
144	PMC2889879	5/2010	4.0	0.0
145	PMC3930526	2/2014	4.0	0.0
146	PMC4982007	8/2016	4.0	2.0
147	PMC4169453	9/2014	4.0	1.0
148	PMC5028238	10/2016	4.0	0.0
149	PMC3882256	1/2014	4.0	1.0
150	PMC5039809	10/2016	4.0	0.0
151	PMC2679409	5/2009	4.0	0.0
152	PMC4193194	10/2014	4.0	0.0
153	PMC4993554	8/2016	4.0	0.0
154	PMC4632423	10/2015	4.0	0.0
155	PMC4645901	8/2014	4.0	1.0
156	PMC4989298	8/2016	4.0	0.0
157	PMC3901983	1/2013	4.0	1.0
158	PMC1888711	5/2007	3.0	0.0
159	PMC4764019	1/2016	3.0	0.0
160	PMC4490503	6/2015	3.0	0.0
161	PMC3061267	2/2011	3.0	0.0
162	PMC4784858	3/2016	3.0	0.0
163	PMC4800340	5/2016	3.0	0.0
164	PMC4488777	5/2015	3.0	0.0
165	PMC4392531	3/2015	3.0	1.0
166	PMC4829940	5/2016	3.0	1.0
167	PMC3926113	1/2014	3.0	0.0
168	PMC5129897	10/2016	3.0	0.0
169	PMC5351212	3/2017	3.0	4.0
170	PMC5223368	12/2016	3.0	0.0
171	PMC5167470	12/2016	3.0	1.0
172	PMC4859539	5/2016	3.0	5.0
173	PMC3476426	8/2012	3.0	0.0
174	PMC5062906	10/2016	3.0	1.0
175	PMC5784894	1/2018	3.0	1.0
176	PMC2685863	5/2009	3.0	0.0
177	PMC4997567	8/2016	3.0	2.0
178	PMC3309463	6/2011	3.0	0.0
179	PMC4258799	11/2014	3.0	6.0
180	PMC2396486	6/2008	3.0	0.0
181	PMC2874518	6/2010	3.0	3.0
182	PMC4377870	3/2015	3.0	0.0
183	PMC4383226	2/2015	3.0	0.0
184	PMC5487839	3/2016	2.0	0.0
185	PMC5410409	4/2017	2.0	1.0
186	PMC5576167	8/2017	2.0	0.0
187	PMC5372327	3/2017	2.0	0.0
188	PMC5371920	3/2017	2.0	0.0
189	PMC4846845	4/2016	2.0	0.0
190	PMC5273824	1/2017	2.0	0.0
191	PMC5264377	7/2016	2.0	0.0
192	PMC5738092	12/2017	2.0	0.0
193	PMC5831579	3/2018	2.0	0.0
194	PMC5758521	1/2018	2.0	0.0
195	PMC4988030	8/2016	2.0	0.0
196	PMC5841533	2/2018	2.0	0.0
197	PMC5682869	11/2017	2.0	0.0
198	PMC5952272	5/2018	2.0	3.0
199	PMC5540678	7/2017	2.0	0.0
200	PMC6056931	7/2018	2.0	0.0
201	PMC3662163	3/2013	2.0	0.0
202	PMC4051754	6/2014	2.0	0.0
203	PMC4377896	3/2015	2.0	0.0
204	PMC3272870	12/2011	2.0	0.0
205	PMC4329745	10/2014	2.0	1.0
206	PMC4277121	12/2015	2.0	0.0
207	PMC4263713	12/2014	2.0	3.0
208	PMC3403156	7/2012	2.0	0.0
209	PMC4210927	10/2014	2.0	0.0
210	PMC4171568	9/2014	2.0	0.0
211	PMC4034700	5/2014	2.0	0.0
212	PMC3075531	7/2010	2.0	0.0
213	PMC3973641	4/2014	2.0	0.0
214	PMC3471827	10/2012	2.0	0.0
215	PMC3485340	10/2012	2.0	1.0
216	PMC3728489	7/2013	2.0	0.0
217	PMC3717763	8/2013	2.0	0.0
218	PMC3501517	11/2012	2.0	1.0
219	PMC3513049	2/2012	2.0	1.0
220	PMC3613945	2/2013	2.0	0.0
221	PMC3271033	1/2012	2.0	3.0
222	PMC3599191	1/2013	2.0	0.0
223	PMC4514967	12/2014	2.0	0.0
224	PMC2151954	10/2007	2.0	0.0
225	PMC2722583	1/2009	2.0	0.0
226	PMC3039633	2/2011	1.0	2.0
227	PMC2290997	4/2008	1.0	1.0
228	PMC5436890	5/2017	1.0	0.0
229	PMC2646054	3/2009	1.0	0.0
230	PMC3417531	7/2012	1.0	0.0
231	PMC5421133	5/2017	1.0	0.0
232	PMC3437304	8/2012	1.0	0.0
233	PMC3458940	9/2012	1.0	0.0
234	PMC2642759	1/2009	1.0	0.0
235	PMC3475131	6/2012	1.0	0.0
236	PMC2405769	5/2008	1.0	0.0
237	PMC5956785	5/2018	1.0	1.0
238	PMC5473979	6/2017	1.0	0.0
239	PMC3488410	10/2012	1.0	1.0
240	PMC2265059	3/2008	1.0	0.0
241	PMC3504157	11/2012	1.0	0.0
242	PMC5340372	3/2017	1.0	0.0
243	PMC5332602	3/2017	1.0	0.0
244	PMC5325195	2/2017	1.0	0.0
245	PMC3534399	10/2012	1.0	0.0
246	PMC3544621	11/2012	1.0	1.0
247	PMC3582478	2/2013	1.0	0.0
248	PMC5240436	1/2017	1.0	0.0
249	PMC1544352	6/2006	1.0	0.0
250	PMC5452160	4/2017	1.0	0.0
251	PMC3411795	8/2012	1.0	0.0
252	PMC5474873	6/2017	1.0	0.0
253	PMC3099599	5/2011	1.0	0.0
254	PMC3120197	7/2011	1.0	3.0
255	PMC3231892	4/2011	1.0	0.0
256	PMC5640793	9/2017	1.0	0.0
257	PMC5716389	9/2017	1.0	0.0
258	PMC5732382	12/2017	1.0	0.0
259	PMC2999828	3/2009	1.0	0.0
260	PMC3276988	9/2011	1.0	0.0
261	PMC2996405	11/2010	1.0	0.0
262	PMC3313761	3/2012	1.0	0.0
263	PMC5741981	12/2018	1.0	2.0
264	PMC3319623	4/2012	1.0	0.0
265	PMC3338544	4/2012	1.0	1.0
266	PMC3356951	4/2012	1.0	0.0
267	PMC2963768	10/2010	1.0	0.0
268	PMC3586494	2/2013	1.0	0.0
269	PMC2873552	4/2010	1.0	0.0
270	PMC2779500	11/2009	1.0	0.0
271	PMC5523023	7/2017	1.0	0.0
272	PMC5521778	7/2017	1.0	2.0
273	PMC3409554	7/2012	1.0	0.0
274	PMC5510234	7/2017	1.0	0.0
275	PMC5489519	6/2017	1.0	2.0
276	PMC2716336	7/2009	1.0	2.0
277	PMC3366289	7/2011	1.0	1.0
278	PMC4673623	11/2015	1.0	0.0
279	PMC3616124	4/2013	1.0	2.0
280	PMC4832516	10/2015	1.0	0.0
281	PMC4934640	11/2015	1.0	0.0
282	PMC4933715	7/2016	1.0	0.0
283	PMC4368185	3/2015	1.0	0.0
284	PMC4897523	10/2014	1.0	0.0
285	PMC4896250	4/2016	1.0	0.0
286	PMC4380381	3/2015	1.0	0.0
287	PMC4877864	6/2015	1.0	0.0
288	PMC4874157	5/2016	1.0	0.0
289	PMC4864049	1/2016	1.0	0.0
290	PMC4861121	5/2016	1.0	1.0
291	PMC4383575	1/2015	1.0	1.0
292	PMC4392553	3/2015	1.0	0.0
293	PMC4843009	4/2016	1.0	0.0
294	PMC1168874	7/2005	1.0	0.0
295	PMC5134748	11/2017	1.0	0.0
296	PMC4438573	5/2015	1.0	0.0
297	PMC4438628	5/2015	1.0	0.0
