	ARTICLE	ARTICLE DATE	NUM SENTENCES
8	PMC3728489	7/2013	5
24	PMC5385921	4/2017	3
5	PMC3515553	12/2012	3
9	PMC3888066	12/2012	3
0	PMC2996405	11/2010	2
6	PMC3659910	1/2013	2
17	PMC4586451	10/2015	2
15	PMC4396835	1/2015	1
23	PMC5351212	3/2017	1
22	PMC5318550	2/2017	1
21	PMC5045784	10/2016	1
20	PMC4998950	4/2016	1
19	PMC4982007	8/2016	1
18	PMC4690051	12/2015	1
16	PMC4499946	7/2015	1
13	PMC4113768	7/2014	1
14	PMC4377896	3/2015	1
1	PMC3319623	4/2012	1
12	PMC4072587	6/2014	1
11	PMC4071151	6/2014	1
10	PMC4045304	2/2014	1
7	PMC3702245	6/2013	1
4	PMC3488410	10/2012	1
3	PMC3385441	2/2012	1
2	PMC3347007	4/2012	1
25	PMC5952272	5/2018	1
