OBO_ID	OBO_LABEL	FREQUENCY
so_0000704	gene	100.00%
uberon_0002405	immune system	92.98%
go_0007565	female pregnancy	72.73%
go_0065007	biological regulation	69.83%
ncbitaxon_10088	Mus <genus>	56.61%
go_0010467	gene expression	50.83%
uberon_0000955	brain	43.80%
uberon_0002048	lung	42.15%
ncbitaxon_9606	Homo sapiens	36.36%
ncbitaxon_33208	Metazoa	35.95%
chebi_71657	versiconol acetate	34.71%
