OBO_ID	OBO_LABEL	FREQUENCY
go_0007565	female pregnancy	100.00%
go_0007631	feeding behavior	91.18%
chebi_33290	food	74.37%
chebi_33284	nutrient	47.90%
uberon_0001977	blood serum	26.89%
chebi_30863	5-azaorotic acid	26.47%
chebi_71657	versiconol acetate	23.95%
chebi_22313	alkaline earth metal atom	21.85%
go_0007567	parturition	20.59%
uberon_0001913	milk	13.03%
ncbitaxon_10088	Mus <genus>	13.03%
