OBO_ID	OBO_LABEL	FREQUENCY
uberon_0002405	immune system	100.00%
go_0065007	biological regulation	40.00%
go_0007565	female pregnancy	32.20%
uberon_0002048	lung	30.24%
ncbitaxon_10088	Mus <genus>	28.29%
so_0000704	gene	27.32%
pr_000001470	interleukin-28B	23.41%
uberon_0001977	blood serum	23.41%
uberon_0000104	life cycle	20.00%
uberon_0001442	skeleton of manus	19.51%
go_0010467	gene expression	17.56%
