OBO_ID	OBO_LABEL	FREQUENCY
go_0007565	female pregnancy	100.00%
chebi_71657	versiconol acetate	46.96%
go_0007567	parturition	39.58%
so_0000704	gene	30.77%
uberon_0001977	blood serum	19.55%
ncbitaxon_10088	Mus <genus>	19.39%
uberon_0000955	brain	17.15%
uberon_0000178	blood	16.35%
pr_000008775	estradiol 17-beta-dehydrogenase 11	13.62%
ncbitaxon_9606	Homo sapiens	13.46%
uberon_0000104	life cycle	12.82%
