OBO_ID	OBO_LABEL	FREQUENCY
go_0007565	female pregnancy	100.00%
chebi_46662	mineral	33.33%
chebi_33284	nutrient	33.33%
chebi_30863	5-azaorotic acid	33.33%
go_0007129	homologous chromosome pairing at meiosis	33.33%
go_0002065	columnar/cuboidal epithelial cell differentiation	33.33%
chebi_6784	mestranol	33.33%
ncbitaxon_9606	Homo sapiens	33.33%
uberon_0009472	axilla	33.33%
uberon_2005013	concurrent branch afferent branchial artery	33.33%
chebi_28384	vitamin K	33.33%
