OBO_ID	OBO_LABEL	FREQUENCY
chebi_18243	dopamine	100.00%
go_0007565	female pregnancy	50.00%
pr_000006770	cytoplasmic dynein 1 heavy chain 1	37.50%
uberon_0000955	brain	37.50%
ncbitaxon_9986	Oryctolagus cuniculus	25.00%
uberon_0007023	adult organism	25.00%
chebi_28384	vitamin K	25.00%
ncbitaxon_33208	Metazoa	25.00%
chebi_27026	toxin	12.50%
go_0030474	spindle pole body duplication	12.50%
uberon_0001977	blood serum	12.50%
