OBO_ID	OBO_LABEL	FREQUENCY
go_0007565	female pregnancy	100.00%
go_0007567	parturition	48.62%
chebi_71657	versiconol acetate	26.79%
uberon_0001977	blood serum	20.18%
go_0007631	feeding behavior	10.09%
uberon_0007023	adult organism	8.81%
uberon_0000178	blood	8.07%
pr_000008775	estradiol 17-beta-dehydrogenase 11	7.52%
uberon_0000104	life cycle	6.97%
pr_000006444	diacylglycerol kinase delta	6.61%
ncbitaxon_1	root	6.24%
