OBO_ID	OBO_LABEL	FREQUENCY
go_0007565	female pregnancy	100.00%
chebi_18243	dopamine	88.89%
uberon_0001977	blood serum	66.67%
uberon_0000178	blood	66.67%
go_0007567	parturition	66.67%
chebi_71657	versiconol acetate	55.56%
ncbitaxon_10088	Mus <genus>	44.44%
uberon_0002240	spinal cord	44.44%
pr_000008775	estradiol 17-beta-dehydrogenase 11	44.44%
ncbitaxon_9986	Oryctolagus cuniculus	33.33%
chebi_6784	mestranol	33.33%
