OBO_ID	OBO_LABEL	FREQUENCY
go_0007565	female pregnancy	100.00%
go_0007567	parturition	38.46%
go_0007631	feeding behavior	15.38%
pr_000017319	vacuolar protein sorting-associated protein 13A	15.38%
uberon_0000104	life cycle	15.38%
chebi_33290	food	15.38%
chebi_52024	4-(4-dihexadecylaminostyryl)-N-methylpyridium iodide	15.38%
chebi_71657	versiconol acetate	15.38%
chebi_46662	mineral	7.69%
chebi_33284	nutrient	7.69%
chebi_30863	5-azaorotic acid	7.69%
