OBO_ID	OBO_LABEL	FREQUENCY
uberon_0001987	placenta	100.00%
go_0007565	female pregnancy	36.47%
go_0010467	gene expression	10.46%
uberon_0000178	blood	10.32%
go_0007567	parturition	9.65%
chebi_33284	nutrient	8.75%
so_0000704	gene	7.80%
go_0065007	biological regulation	4.80%
ncbitaxon_10088	Mus <genus>	4.71%
uberon_0000995	uterus	4.52%
uberon_0000922	embryo	4.47%
