OBO_ID	OBO_LABEL	FREQUENCY
uberon_0000178	blood	100.00%
chebi_17234	glucose	80.77%
uberon_0007023	adult organism	11.54%
cl_0000232	erythrocyte	11.54%
go_0030730	sequestering of triglyceride	11.54%
go_0065007	biological regulation	11.54%
go_0007565	female pregnancy	11.54%
ncbitaxon_1	root	11.54%
go_0045014	carbon catabolite repression of transcription by glucose	11.54%
chebi_25441	mycothiols	11.54%
uberon_0000955	brain	7.69%
