OBO_ID	OBO_LABEL	FREQUENCY
so_0000704	gene	100.00%
go_0007565	female pregnancy	87.43%
go_0010467	gene expression	81.67%
ncbitaxon_10088	Mus <genus>	71.21%
uberon_0000178	blood	66.58%
uberon_0002405	immune system	51.36%
go_0065007	biological regulation	50.36%
go_0007567	parturition	48.91%
uberon_0002048	lung	47.72%
uberon_0002113	kidney	44.67%
uberon_0002107	liver	41.89%
