OBO_ID	OBO_LABEL	FREQUENCY
go_0007567	parturition	100.00%
go_0007565	female pregnancy	86.96%
so_0000704	gene	86.96%
chebi_17234	glucose	82.61%
uberon_0000178	blood	82.61%
ncbitaxon_10088	Mus <genus>	73.91%
uberon_0001987	placenta	65.22%
go_0010467	gene expression	60.87%
uberon_0002107	liver	60.87%
go_0007631	feeding behavior	47.83%
uberon_0000955	brain	43.48%
