OBO_ID	OBO_LABEL	FREQUENCY
uberon_0002405	immune system	100.00%
ncbitaxon_10088	Mus <genus>	64.85%
uberon_0000160	intestine	60.40%
cl_0000084	T cell	52.94%
go_0010467	gene expression	44.48%
pr_000001470	interleukin-28B	43.62%
so_0000704	gene	41.46%
go_0042571	immunoglobulin complex, circulating	38.45%
uberon_0002048	lung	37.59%
go_0006955	immune response	37.59%
go_0065007	biological regulation	33.57%
