OBO_ID	OBO_LABEL	FREQUENCY
go_0007565	female pregnancy	100.00%
go_0007567	parturition	60.87%
so_0000704	gene	39.13%
uberon_0000178	blood	26.09%
uberon_0001987	placenta	21.74%
go_0007631	feeding behavior	17.39%
uberon_0002107	liver	17.39%
uberon_0001088	urine	13.04%
chebi_33853	phenols	13.04%
ncbitaxon_10088	Mus <genus>	13.04%
go_0010467	gene expression	13.04%
