OBO_ID	OBO_LABEL	FREQUENCY
so_0000704	gene	100.00%
go_0010467	gene expression	43.89%
go_0065007	biological regulation	15.66%
go_0006306	DNA methylation	13.77%
go_0007565	female pregnancy	8.23%
so_0000167	promoter	7.56%
ncbitaxon_10088	Mus <genus>	7.33%
so_0001026	genome	6.62%
chebi_15358	histone	5.91%
uberon_0002107	liver	5.18%
uberon_0001987	placenta	5.18%
