OBO_ID	OBO_LABEL	FREQUENCY
uberon_0000955	brain	100.00%
uberon_0001898	hypothalamus	18.39%
so_0000704	gene	17.09%
cl_0000540	neuron	16.98%
go_0007565	female pregnancy	15.95%
go_0007420	brain development	15.90%
go_0010467	gene expression	15.31%
go_0045202	synapse	12.87%
ncbitaxon_33208	Metazoa	12.17%
go_0007567	parturition	11.74%
ncbitaxon_10088	Mus <genus>	11.36%
