OBO_ID	OBO_LABEL	FREQUENCY
uberon_0000178	blood	100.00%
uberon_0000955	brain	90.24%
go_0007565	female pregnancy	82.03%
so_0000704	gene	69.73%
ncbitaxon_10088	Mus <genus>	56.23%
chebi_27300	vitamin D	52.88%
go_0007567	parturition	48.88%
go_0010467	gene expression	46.73%
uberon_0002048	lung	39.34%
go_0065007	biological regulation	38.18%
uberon_0002405	immune system	36.46%
