OBO_ID	OBO_LABEL	FREQUENCY
go_0007565	female pregnancy	100.00%
uberon_0002046	thyroid gland	53.85%
chebi_31719	ipriflavone	46.15%
uberon_0000955	brain	38.46%
so_0000704	gene	38.46%
ncbitaxon_10088	Mus <genus>	38.46%
go_0007631	feeding behavior	38.46%
chebi_27300	vitamin D	38.46%
uberon_0002405	immune system	30.77%
uberon_0000178	blood	23.08%
chebi_15377	water	23.08%
