OBO_ID	OBO_LABEL	FREQUENCY
pr_000006009	alpha-catulin	100.00%
chebi_71657	versiconol acetate	66.67%
pr_000008775	estradiol 17-beta-dehydrogenase 11	22.22%
uberon_0002405	immune system	16.67%
go_0007567	parturition	16.67%
go_0007565	female pregnancy	16.67%
chebi_65381	albizoside C	13.89%
cl_0000235	macrophage	11.11%
pr_000006444	diacylglycerol kinase delta	8.33%
go_0010467	gene expression	8.33%
go_0007601	visual perception	8.33%
