OBO_ID	GENE LIST	TOTAL GENES
CL_0011108	['UTS2', 'TUBB2A']	2
GO_0005179	['UTS2']	1
GO_0008217	['UTS2']	1
GO_0005102	['UTS2']	1
GO_0004842	['RNF182']	1
221687	['RNF182']	1
GO_0016567	['RNF182']	1
CL_0002535	['RNF182', 'ARG1']	2
PR_Q8N6D2	['RNF182']	1
PR_000014108	['RNF182']	1
UBERON_0000002	['RNF182', 'ARG1']	2
GO_0033691	['SIGLEC14']	1
PR_000014867	['SIGLEC14']	1
100049587	['SIGLEC14']	1
PR_Q08ET2	['SIGLEC14']	1
CL_0000782	['SIGLEC14']	1
GO_0101003	['SIGLEC14', 'LILRA3', 'CLEC4C']	3
319101	['KRT73']	1
PR_Q86Y46	['KRT73']	1
GO_0045095	['KRT73']	1
GO_0008150	['KRT73']	1
CL_0000898	['KRT73']	1
PR_000009488	['KRT73']	1
GO_0000226	['TUBB2A']	1
PR_Q13885	['TUBB2A']	1
GO_1903561	['TUBB2A']	1
CHEBI_33217	['TUBB2A']	1
GO_0005200	['TUBB2A']	1
CL_0000236	['TUBB2A', 'JCHAIN']	2
CHEBI_35549	['TUBB2A', 'MYL9']	2
CL_0002259	['TUBB2A']	1
7280	['TUBB2A']	1
GO_0001764	['TUBB2A']	1
GO_0003924	['TUBB2A']	1
GO_0000278	['TUBB2A']	1
GO_0005874	['TUBB2A']	1
PR_000016816	['TUBB2A']	1
PR_000017313	['VNN1']	1
UBERON_0002186	['VNN1']	1
CHEBI_58029	['VNN1']	1
CL_0000066	['VNN1']	1
GO_0017159	['VNN1']	1
8876	['VNN1']	1
GO_0033089	['VNN1']	1
CHEBI_16753	['VNN1']	1
GO_0002544	['VNN1']	1
GO_1902176	['VNN1']	1
PR_O95497	['VNN1']	1
GO_0006979	['VNN1']	1
GO_0035577	['VNN1', 'CEACAM8']	2
GO_0015939	['VNN1']	1
GO_0098609	['VNN1']	1
CL_0002328	['VNN1']	1
CHEBI_29032	['VNN1']	1
GO_0031225	['VNN1', 'CEACAM8']	2
CHEBI_34682	['LILRA3']	1
PR_000009805	['LILRA3']	1
PR_Q8N6C8	['LILRA3']	1
GO_0019221	['LILRA3']	1
11026	['LILRA3']	1
GO_0032396	['LILRA3']	1
GO_0002250	['LILRA3', 'HLA-DQB1', 'ARG1', 'CLEC4C', 'JCHAIN']	5
GO_0032395	['HLA-DQB1']	1
GO_0030666	['HLA-DQB1']	1
GO_0030658	['HLA-DQB1']	1
3119	['HLA-DQB1']	1
GO_0042605	['HLA-DQB1']	1
GO_0042613	['HLA-DQB1']	1
PR_P01920	['HLA-DQB1']	1
GO_0050870	['HLA-DQB1']	1
GO_0002503	['HLA-DQB1']	1
GO_0012507	['HLA-DQB1']	1
PR_000002017	['HLA-DQB1']	1
GO_0002381	['HLA-DQB1']	1
GO_0032588	['HLA-DQB1']	1
GO_0010008	['HLA-DQB1']	1
GO_0019886	['HLA-DQB1']	1
GO_0071556	['HLA-DQB1']	1
GO_0050852	['HLA-DQB1']	1
GO_0023026	['HLA-DQB1']	1
GO_0000139	['HLA-DQB1']	1
GO_0030669	['HLA-DQB1']	1
GO_0006959	['HLA-DQB1', 'JCHAIN']	2
GO_0007157	['CEACAM8']	1
PR_000001332	['CEACAM8']	1
UBERON_0001987	['CEACAM8', 'IFIT1B']	2
GO_0046982	['CEACAM8']	1
PR_P31997	['CEACAM8']	1
CHEBI_36560	['CEACAM8']	1
CHEBI_32234	['CEACAM8']	1
1088	['CEACAM8']	1
GO_0051726	['MS4A3']	1
PR_000010657	['MS4A3']	1
932	['MS4A3']	1
PR_Q96HJ5	['MS4A3']	1
CHEBI_29035	['ARG1']	1
GO_0030145	['ARG1']	1
GO_0033189	['ARG1']	1
383	['ARG1']	1
GO_0033197	['ARG1']	1
GO_0004053	['ARG1']	1
CHEBI_17842	['ARG1']	1
CHEBI_46911	['ARG1']	1
CHEBI_64558	['ARG1']	1
GO_0051597	['ARG1']	1
GO_0010042	['ARG1']	1
GO_0030324	['ARG1']	1
GO_0010269	['ARG1']	1
GO_0007568	['ARG1']	1
GO_0006527	['ARG1']	1
CHEBI_16199	['ARG1']	1
CL_0000945	['ARG1', 'JCHAIN']	2
GO_0043005	['ARG1']	1
PR_P05089	['ARG1']	1
GO_0060056	['ARG1']	1
CHEBI_33118	['ARG1']	1
GO_0046007	['ARG1']	1
CHEBI_39589	['ARG1']	1
CHEBI_58290	['ARG1']	1
GO_0032964	['ARG1']	1
GO_0060336	['ARG1']	1
GO_0071560	['ARG1']	1
UBERON_0002372	['ARG1', 'JCHAIN']	2
GO_1905541	['ARG1']	1
GO_0060135	['ARG1']	1
GO_0042832	['ARG1']	1
GO_0010043	['ARG1']	1
GO_0070965	['ARG1']	1
CHEBI_32682	['ARG1']	1
GO_0001889	['ARG1']	1
GO_0035578	['ARG1', 'RNASE3']	2
GO_0000050	['ARG1']	1
PR_000001844	['ARG1']	1
GO_0071377	['ARG1']	1
GO_0071549	['ARG1']	1
CHEBI_379896	['ARG1']	1
GO_0019547	['ARG1']	1
GO_0046686	['ARG1']	1
CHEBI_144094	['ARG1']	1
GO_0043200	['ARG1']	1
GO_0043025	['ARG1']	1
CHEBI_16811	['ARG1']	1
GO_0042130	['ARG1']	1
GO_0071353	['ARG1']	1
GO_2000552	['ARG1']	1
CHEBI_3090	['ARG1']	1
GO_0014075	['ARG1']	1
CHEBI_16643	['ARG1']	1
UBERON_0004867	['ARG1', 'JCHAIN']	2
GO_0048678	['ARG1']	1
GO_0008017	['SVBP']	1
GO_0031397	['SVBP']	1
GO_0009306	['SVBP']	1
PR_Q8N300	['SVBP']	1
GO_0061564	['SVBP']	1
374969	['SVBP']	1
GO_0045177	['SVBP']	1
GO_1905048	['SVBP']	1
GO_0010596	['SVBP']	1
PR_000031911	['SVBP']	1
GO_0005856	['SVBP']	1
GO_0001895	['IGKC', 'JCHAIN']	2
GO_0003823	['IGKC', 'JCHAIN']	2
GO_0006910	['IGKC']	1
PR_P01834	['IGKC']	1
GO_0006911	['IGKC']	1
3514	['IGKC']	1
GO_0034987	['IGKC', 'JCHAIN']	2
GO_0050853	['IGKC']	1
PR_000008966	['IGKC']	1
GO_0050871	['IGKC']	1
GO_0042571	['IGKC']	1
SO_0000460	['IGKC']	1
GO_0072488	['RHD']	1
PR_000001442	['RHD']	1
6007	['RHD']	1
PR_Q02161	['RHD']	1
GO_0008519	['RHD']	1
SO_0001267	['SNORD116-1']	1
100033413	['SNORD116-1']	1
GO_0005859	['MYL9']	1
CHEBI_66964	['MYL9']	1
CHEBI_16975	['MYL9']	1
CHEBI_3387	['MYL9']	1
UBERON_0001135	['MYL9']	1
GO_0008307	['MYL9']	1
CL_0002570	['MYL9']	1
GO_0005938	['MYL9']	1
GO_0032036	['MYL9']	1
CHEBI_46762	['MYL9']	1
GO_0030018	['MYL9']	1
GO_0001725	['MYL9']	1
CHEBI_16412	['MYL9']	1
PR_000010841	['MYL9']	1
PR_P24844	['MYL9']	1
GO_0006937	['MYL9']	1
CHEBI_78761	['MYL9']	1
GO_0005509	['MYL9']	1
CHEBI_28600	['MYL9']	1
CHEBI_75393	['MYL9']	1
CHEBI_42680	['MYL9']	1
10398	['MYL9']	1
GO_0030667	['CLEC4C']	1
CL_0000784	['CLEC4C', 'JCHAIN']	2
CL_0000542	['CLEC4C']	1
PR_Q8WTT0	['CLEC4C']	1
PR_000001292	['CLEC4C']	1
170482	['CLEC4C']	1
GO_0061760	['CLEC4C']	1
GO_0044419	['CLEC4C']	1
GO_0071751	['JCHAIN']	1
GO_0042803	['JCHAIN']	1
GO_0030674	['JCHAIN']	1
GO_0071757	['JCHAIN']	1
GO_0071748	['JCHAIN']	1
CHEBI_84069	['JCHAIN']	1
CHEBI_84268	['JCHAIN']	1
GO_0003094	['JCHAIN']	1
CHEBI_15743	['JCHAIN']	1
GO_0031210	['JCHAIN']	1
GO_0071750	['JCHAIN']	1
CHEBI_34787	['JCHAIN']	1
CHEBI_17153	['JCHAIN']	1
PR_000008965	['JCHAIN']	1
CHEBI_17935	['JCHAIN']	1
GO_0060267	['JCHAIN']	1
GO_0003697	['JCHAIN']	1
CL_0000787	['JCHAIN']	1
CHEBI_88528	['JCHAIN']	1
GO_0042834	['JCHAIN']	1
GO_0071756	['JCHAIN']	1
GO_0065003	['JCHAIN']	1
PR_P01591	['JCHAIN']	1
GO_0071752	['JCHAIN']	1
3512	['JCHAIN']	1
GO_0019862	['JCHAIN']	1
CHEBI_50730	['RNASE3']	1
GO_0061844	['RNASE3']	1
GO_0006935	['RNASE3']	1
GO_0003676	['RNASE3']	1
GO_0004519	['RNASE3']	1
GO_0004540	['RNASE3']	1
6037	['RNASE3']	1
CHEBI_3207	['RNASE3']	1
GO_0002227	['RNASE3']	1
PR_P12724	['RNASE3']	1
CHEBI_3001	['RNASE3']	1
GO_0001530	['RNASE3']	1
GO_0090501	['RNASE3']	1
CHEBI_9012	['RNASE3']	1
PR_000014047	['RNASE3']	1
GO_0006401	['RNASE3']	1
CHEBI_10100	['RNASE3']	1
GO_0050688	['IFIT1B']	1
439996	['IFIT1B']	1
GO_0071357	['IFIT1B']	1
PR_Q5T764	['IFIT1B']	1
PR_000031925	['IFIT1B']	1
GO_0071360	['IFIT1B']	1
CHEBI_2825	['IFIT1B']	1
162632	['USP32P1']	1
SO_0000336	['USP32P1']	1
