OBO_ID	GENE LIST	TOTAL GENES
GO_0030246	['CLEC12A', 'CLEC12B', 'SIGLEC14', 'CLEC4C']	4
CL_0000564	['CLEC12A', 'ARG1', 'RNASE3']	3
160364	['CLEC12A']	1
PR_Q5QGZ9	['CLEC12A']	1
UBERON_0008952	['CLEC12A', 'ALOX15']	2
CL_0000451	['CLEC12A', 'SIGLEC14', 'VNN1', 'CLEC4C', 'JCHAIN']	5
GO_0070821	['CLEC12A', 'SIGLEC14', 'LILRA3', 'CEACAM8', 'CLEC4C']	5
CHEBI_2504	['CLEC12A', 'TMEM176A', 'HP', 'GYPA', 'C4BPA', 'CRISP3', 'ITGA2B', 'UTS2', 'RNF182', 'LILRA3', 'ARG1', 'SVBP']	12
CL_0000763	['CLEC12A', 'CLEC12B', 'MS4A3', 'RHD', 'RNASE3']	5
PR_000005559	['CLEC12A']	1
GO_0005886	['CLEC12A', 'KIAA1324', 'GYPA', 'OAS3', 'C4BPA', 'OLFM4', 'ITGB3', 'ITGA2B', 'ALOX15', 'SIGLEC14', 'VNN1', 'LILRA3', 'HLA-DQB1', 'CEACAM8', 'MS4A3', 'IGKC', 'RHD', 'CLEC4C']	18
GO_0030545	['CLEC12A']	1
UBERON_0001744	['CLEC12A', 'LCN2', 'ITGA2B', 'SIGLEC14', 'CLEC4C', 'JCHAIN']	6
GO_0035579	['CLEC12A', 'LILRA3', 'CEACAM8', 'MS4A3']	4
CL_0000860	['TMEM176A', 'HP', 'SIGLEC14', 'VNN1']	4
PR_000032564	['TMEM176A']	1
PR_Q96HP8	['TMEM176A']	1
CHEBI_39867	['TMEM176A', 'HP', 'C4BPA', 'OLFM4', 'LCN2', 'ALOX15', 'SIGLEC14', 'TUBB2A', 'CEACAM8', 'RNASE3', 'USP32P1']	11
UBERON_0002113	['TMEM176A']	1
55365	['TMEM176A']	1
GO_2001199	['TMEM176A']	1
UBERON_0001114	['TMEM176A', 'HP', 'C4BPA', 'VNN1', 'ARG1']	5
PR_000008725	['HP']	1
CHEBI_17823	['HP']	1
CHEBI_67246	['HP']	1
GO_0004252	['HP', 'MMP8']	2
CHEBI_25016	['HP']	1
PR_P00738	['HP']	1
SO_0000704	['HP', 'GYPA', 'ITGB3', 'ITGA2B', 'TUBB2A', 'HLA-DQB1', 'ARG1', 'IGKC', 'SNORD116-1']	9
CHEBI_50868	['HP']	1
CHEBI_31183	['HP']	1
GO_0010942	['HP']	1
GO_0002526	['HP', 'VNN1']	2
CHEBI_27889	['HP']	1
GO_0016209	['HP']	1
CHEBI_67244	['HP']	1
GO_0042542	['HP']	1
GO_0042742	['HP', 'LCN2', 'IGKC']	3
CL_0000182	['HP', 'C4BPA', 'ARG1']	3
GO_0031638	['HP']	1
GO_0071682	['HP']	1
CHEBI_7959	['HP']	1
GO_0072562	['HP', 'C4BPA', 'ITGA2B', 'IGKC', 'JCHAIN']	5
GO_2000296	['HP']	1
GO_0035580	['HP', 'MMP8', 'CRISP3', 'OLFM4', 'LCN2', 'ARG1']	6
GO_1904724	['HP', 'MMP8', 'CRISP3', 'OLFM4']	4
GO_0031838	['HP']	1
GO_0006952	['HP', 'CRISP3']	2
GO_0070062	['HP', 'KIAA1324', 'OLFM4', 'ITGB3', 'LCN2', 'ITGA2B', 'KRT73', 'TUBB2A', 'CEACAM8', 'IGKC', 'JCHAIN']	11
GO_0005576	['HP', 'MMP8', 'C4BPA', 'CRISP3', 'OLFM4', 'LCN2', 'UTS2', 'VNN1', 'LILRA3', 'ARG1', 'SVBP', 'IGKC', 'JCHAIN', 'RNASE3']	14
GO_0006953	['HP', 'LCN2']	2
GO_0051354	['HP']	1
GO_0030492	['HP']	1
GO_0005615	['HP', 'MMP8', 'OAS3', 'C4BPA', 'CRISP3', 'OLFM4', 'LCN2', 'UTS2', 'CEACAM8', 'ARG1', 'IGKC', 'JCHAIN', 'RNASE3']	13
3240	['HP']	1
GO_0098869	['HP']	1
GO_0030198	['MMP8']	1
4317	['MMP8']	1
GO_0046330	['MMP8']	1
GO_0043388	['MMP8']	1
PR_000010490	['MMP8']	1
CHEBI_138885	['MMP8']	1
CHEBI_50845	['MMP8']	1
GO_0032693	['MMP8']	1
GO_0008270	['MMP8']	1
GO_1901224	['MMP8']	1
GO_0008233	['MMP8']	1
UBERON_0000014	['MMP8', 'OLFM4', 'ITGB3', 'KRT73', 'TUBB2A', 'VNN1']	6
GO_0150078	['MMP8']	1
GO_0004222	['MMP8']	1
PR_P22894	['MMP8']	1
GO_0062023	['MMP8']	1
CL_0000775	['MMP8', 'KIAA1324', 'CLEC12B', 'C4BPA', 'CRISP3', 'OLFM4', 'ITGB3', 'LCN2', 'SIGLEC14', 'CEACAM8', 'ARG1', 'RHD', 'MYL9']	13
GO_1903978	['MMP8']	1
GO_0022617	['MMP8']	1
GO_0045429	['MMP8']	1
GO_1903428	['MMP8', 'LCN2']	2
GO_1903980	['MMP8']	1
CHEBI_44975	['MMP8']	1
GO_0004175	['MMP8']	1
CHEBI_29108	['MMP8']	1
CHEBI_27902	['MMP8']	1
CHEBI_42191	['MMP8']	1
GO_0030574	['MMP8']	1
GO_0006508	['MMP8', 'SVBP']	2
CHEBI_60648	['MMP8']	1
CHEBI_77932	['MMP8']	1
GO_0043410	['MMP8']	1
CHEBI_29105	['MMP8']	1
GO_0010629	['MMP8']	1
GO_0035987	['MMP8']	1
